seller_id;seller_reputation+power_seller_status;seller_reputation+level_id;years_antiquity;seller_reputation+metrics+sales+period;n_items;n_subcategories;sold_items;mean_intallments;q10_discount;q50_discount;q90_discount;total_transactions;completed_transactions;canceled_transactions;negative_rating;neutral_rating;positive_rating;total_claims;total_delayed_shipments;total_cancellations;gold_pro;gold_special;label
1172894807;Not_medal;3_yellow;0.8240930869267625;60 days;1;1;1;36.0;0.0;0.0;0.0;702;631;71;0.05;0.03;0.92;6;24;1;0.0;1.0;8
1188576157;silver;5_green;0.7529089664613279;60 days;2;1;1;36.0;0.0;0.0;0.0;1816;1672;144;0.06;0.02;0.92;4;10;4;0.0;1.0;5
1191190949;Not_medal;3_yellow;0.7419575633127995;60 days;1;1;0;12.0;9.999999999999998;9.999999999999998;9.999999999999998;221;191;30;0.17;0.23;0.6;2;9;3;1.0;0.0;9
1204239854;Not_medal;5_green;0.6844626967830253;365 days;1;1;5;12.0;0.0;0.0;0.0;60;56;4;0.0;0.0;1.0;0;3;0;1.0;0.0;6
1207093176;Not_medal;5_green;0.6707734428473648;60 days;28;3;775;20.571428571428573;0.0;11.032764253608507;27.669804880186465;401016;369068;31948;0.36;0.03;0.61;2212;0;1820;0.6428571428571429;0.35714285714285715;9
1222572974;gold;5_green;0.6078028747433265;60 days;1;1;2;36.0;5.000000000000004;5.000000000000004;5.000000000000004;1176;1124;52;0.05;0.05;0.9;2;4;0;0.0;1.0;0
1234228543;Not_medal;3_yellow;0.5612594113620808;60 days;1;1;5;12.0;0.0;0.0;0.0;245;232;13;0.38;0.21;0.41;1;23;1;1.0;0.0;9
1241436698;platinum;5_green;0.5338809034907598;60 days;1;1;0;36.0;0.0;0.0;0.0;1340;1229;111;0.05;0.04;0.91;7;3;2;0.0;1.0;4
1286500436;Not_medal;4_light_green;0.37782340862423;60 days;1;1;4;36.0;0.0;0.0;0.0;172;147;25;0.11;0.11;0.78;0;0;0;0.0;1.0;8
1293501803;Not_medal;5_green;0.35044490075290896;365 days;6;2;11;32.0;0.0;0.0;0.0;360;348;12;0.0;0.0;1.0;0;0;0;0.16666666666666666;0.8333333333333334;3
1293506710;silver;5_green;0.35044490075290896;60 days;1;1;5;36.0;0.0;0.0;0.0;267;246;21;0.0;0.0;1.0;1;2;2;0.0;1.0;5
1305122305;Not_medal;5_green;0.30937713894592744;60 days;7;2;17;29.142857142857142;5.000000000000004;5.000069236597282;18.600000000000005;560;546;14;0.0;0.0;1.0;7;0;0;0.2857142857142857;0.7142857142857143;1
1317128962;Not_medal;5_green;0.26283367556468173;60 days;1;1;5;12.0;0.0;0.0;0.0;177;143;34;1.0;0.0;0.0;2;7;0;1.0;0.0;9
1345286920;Not_medal;5_green;0.15879534565366188;60 days;2;2;25;24.0;0.0;0.0;0.0;610;564;46;0.33;0.0;0.67;6;8;0;0.5;0.5;9
